Optimizer,Dim,Kernel,MeanBest,Std,Runtime
BCA,10,Categorical,3.6996336996337,0.4395604395604396,6244.455668449402
BCA,20,Categorical,3.734265341980649,0.8206127447191124,11761.02154135704
BCA,30,Categorical,3.5707231060026268,0.46724223714522484,17219.644746780396
BCA,40,Categorical,3.5942795226263486,0.45509501732913465,22822.81126642227
BCA,50,Categorical,2.9497758190513785,0.5836638383073676,28167.367511034012
BCA,60,Categorical,2.4552762124356935,0.5473889061487355,2799.192698955536
PSO,10,Categorical,3.6996336996337,0.4395604395604396,538.7871658802032
PSO,20,Categorical,3.9692288430044798,1.0202405220386095,553.4133229255676
PSO,30,Categorical,3.409393389753062,0.7397316583586944,581.8892517089844
PSO,40,Categorical,2.770574817115401,0.33588417647418356,571.4590382575989
PSO,50,Categorical,2.140173495630551,0.19995771050577452,549.2865493297577
PSO,60,Categorical,1.9494790392032169,0.13265594391882624,533.2202310562134
Firefly,10,Categorical,3.846153846153846,4.440892098500626e-16,515.1822218894958
Firefly,20,Categorical,3.2397709002245443,0.5256585047886179,488.00500893592834
Firefly,30,Categorical,2.6683824210208624,0.659912525833749,490.1132550239563
Firefly,40,Categorical,2.257967157406012,0.2920245824512423,491.9681673049927
Firefly,50,Categorical,1.9979087887926632,0.14847734115285852,488.69392561912537
Firefly,60,Categorical,1.9205804609535058,0.1421608732272319,484.8787519931793
LocalSearch,10,Categorical,3.6996336996337,0.4395604395604396,176.8494336605072
LocalSearch,20,Categorical,3.817859908333836,0.7639781636559969,273.3108150959015
LocalSearch,30,Categorical,3.6548354737612407,0.4804418436101622,506.09262800216675
LocalSearch,40,Categorical,3.459342812362857,0.4879348348548412,800.7444798946381
LocalSearch,50,Categorical,2.9418833246626086,0.6455572209063373,792.2511126995087
LocalSearch,60,Categorical,2.8354866687940388,0.6649460939978228,988.412383556366
